Year;all_Total;all_Male;all_Female;white_Total;white_Male;white_Female;whiteAlone_Total;whiteAlone_Male;whiteAlone_Female;black_Total;black_Male;black_Female;asian_Total;asian_Male;asian_Female;hispanic_Total;hispanic_Male;hispanic_Female;whiteCombi_Total;whiteCombi_Male;whiteCombi_Female;notWhiteCombi_Total;notWhiteCombi_Male;notWhiteCombi_Female;blackCombi_Total;blackCombi_Male;blackCombi_Female;asianCombi_Total;asianCombi_Male;asianCombi_Female
1972;12,0;15,4;9,0;12,6;16,2;9,4;N;N;N;5,1;5,5;4,8;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
1971;11,4;14,6;8,5;12,0;15,5;8,9;N;N;N;4,5;4,7;4,3;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
1970;11,0;14,1;8,2;11,6;15,0;8,6;N;N;N;4,5;4,6;4,4;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
1969;10,7;13,6;8,1;11,2;14,3;8,5;N;N;N;4,6;4,8;4,5;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
1968;10,5;13,3;8,0;11,0;14,1;8,3;N;N;N;4,3;3,7;4,8;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
1967;10,1;12,8;7,6;10,6;13,6;7,9;N;N;N;4,0;3,4;4,4;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
1966;9,8;12,5;7,4;10,4;13,3;7,7;N;N;N;3,8;3,9;3,7;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
1965;9,4;12,0;7,1;9,9;12,7;7,3;N;N;N;4,7;4,9;4,5;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
1964;9,1;11,7;6,8;9,6;12,3;7,1;N;N;N;3,9;4,5;3,4;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
1962;8,9;11,4;6,7;9,5;12,2;7,0;N;N;N;4,0;3,9;4,0;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
1959;8,1;10,3;6,0;8,6;11,0;6,2;N;N;N;3,3;3,8;2,9;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
1957;7,6;9,6;5,8;8,0;10,1;6,0;N;N;N;2,9;2,7;3,0;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
1952;7,0;8,3;5,8;N;N;N;N;N;N;2,4;2,0;2,7;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
1950;6,2;7,3;5,2;N;N;N;N;N;N;2,3;2,1;2,4;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
1947;5,4;6,2;4,7;5,7;6,6;4,9;N;N;N;2,5;2,4;2,6;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
1940;4,6;5,5;3,8;4,9;5,9;4,0;N;N;N;1,3;1,4;1,2;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
